인덱스,유형,QA
57,불법,"불법 시나리오 생성해줘
시간: 20:00
상황: 한 공장에서 해양으로 불법 화학물질을 배출하고 있음
절차: 1.신고 접수:
-신고자: 인근 주민
-신고 대상: 해양 경찰
-신고 내용: 화학물질 배출
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 6명
-준비 작업: 화학물질 탐지 장비 준비, 출동 경로 설정
-시간 소요: 4분
3.현장 도착:
-도착 시간: 15분 이내
-출동 경로: 주민 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 6명
-작업 내용: 배출 중지, 화학물질 샘플 채취, 관련자 체포
-시간 소요: 12분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 화학물질 배출 관련자 조사 및 법적 조치
-시간 소요: 7분
목표: 총 40분 이내에 불법 화학물질 배출 중지 및 관련자 체포."
58,불법,"불법 시나리오 생성해줘
시간: 13:45
상황: 한 남성이 해양 보호구역에서 불법으로 어류를 포획하고 있음
절차: 1.신고 접수:
-신고자: 해양 보호구역 관리인
-신고 대상: 해양 경찰
-신고 내용: 불법 어류 포획 활동
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 5명
-준비 작업: 어류 포획 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 10분 이내
-출동 경로: 관리인 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 5명
-작업 내용: 어류 포획 중지, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 불법 어류 포획 관련자 조사 및 법적 조치
-시간 소요: 6분
목표: 총 31분 이내에 불법 어류 포획 중지 및 관련자 체포"
59,불법,"불법 시나리오 생성해줘
시간: 22:15
상황: 해변에서 불법 야영이 발견됨.
절차: 1.신고 접수:
-신고자: 해변 순찰 요원
-신고 대상: 해양 경찰
-신고 내용: 불법 야영 활동
-시간 소요: 1분
2.초기 대응:
-출동 인원: 해양 경찰 4명
-준비 작업: 야영 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 10분 이내
-출동 경로: 순찰 요원 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 4명
-작업 내용: 야영 중지, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 2명
-조치 내용: 야영 관련자 조사 및 법적 조치
-시간 소요: 5분
목표: 총 24분 이내에 불법 야영 중지 및 관련자 체포."
60,불법,"불법 시나리오 생성해줘
시간: 9:30
상황: 해안가에서 무단으로 낚시 대회가 열리고 있음
절차: 1.신고 접수:
-신고자: 인근 주민
-신고 대상: 해양 경찰
-신고 내용: 무단 낚시 대회
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 6명
-준비 작업: 낚시 대회 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 12분 이내
-출동 경로: 주민 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 6명
-작업 내용: 낚시 대회 중지, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 무단 낚시 대회 관련자 조사 및 법적 조치
-시간 소요: 7분
목표: 총 34분 이내에 무단 낚시 대회 중지 및 관련자 체포"
61,해양오염,"해양오염 시나리오 생성해줘
시간: 10:00
상황: 관광 보트에서 발생한 연료 유출로 인해 해수욕장 근처 해양이 오염되고 있다. 절차
절차: 신고 접수:
신고자: 관광 보트 선장
신고 대상: 해양 환경 보호국
신고 내용: 연료 유출 발생, 위치, 유출량
시간 소요: 2분
초기 대응:
출동 인원: 해양 환경 보호팀 8명 (오염 제거 보트 4명, 응급 조치팀 4명)
준비 작업: 오염 제거 장비 준비, 보호복 착용
시간 소요: 3분
현장 도착:
오염 제거 보트 도착 시간: 7분 이내
출동 경로: 해안에서 오염 위치까지 직선 경로
오염 제거 작업:
작업 인원: 4명 (오염 제거 보트 운전 1명, 오염물 제거 작업 3명)
기름 차단 붐 설치: 5분
기름 흡수 및 제거: 10분
응급 조치:
조치 인원: 응급 조치팀 4명
조치 내용: 해양 생물 보호, 오염 구역 표시 및 접근 금지 경고
시간 소요: 4분
후속 조치:
오염 물질 이송 경로: 처리 시설로 운반
이송 시간: 15분
추가 조치: 오염 확산 모니터링 및 추가 제거 작업 필요 시 진행
목표: 
총 35분 이내에 초기 오염 제거 및 응급 조치 완료"
62,해양오염,"해양오염 시나리오 생성해줘
시간: 11:30
상황: 항구 근처에서 화학물질이 유출되어 해양이 오염되고 있다.
절차: 신고 접수:
신고자: 항구 직원
신고 대상: 해양 환경 보호국
신고 내용: 화학물질 유출 발생, 위치, 유출물질 종류
시간 소요: 1분
초기 대응:
출동 인원: 해양 환경 보호팀 10명 (오염 제거 보트 5명, 응급 조치팀 5명)
준비 작업: 오염 제거 장비 준비, 보호복 착용
시간 소요: 4분
현장 도착:
오염 제거 보트 도착 시간: 8분 이내
출동 경로: 항구에서 오염 위치까지 직선 경로
오염 제거 작업:
작업 인원: 5명 (오염 제거 보트 운전 1명, 오염물 제거 작업 4명)
화학물질 차단 장벽 설치: 6분
화학물질 흡수 및 제거: 12분
응급 조치:
조치 인원: 응급 조치팀 5명
조치 내용: 오염 구역 표시 및 접근 금지 경고, 해양 생물 보호
시간 소요: 5분
후속 조치:
오염 물질 이송 경로: 처리 시설로 운반
이송 시간: 20분
추가 조치: 오염 확산 모니터링 및 추가 제거 작업 필요 시 진행
목표

목표: 총 45분 이내에 초기 오염 제거 및 응급 조치 완료"
63,해양오염,"해양오염 시나리오 생성해줘
시간: 14:00
상황: 해양 관광지 근처에서 소형 선박이 침몰하면서 연료가 유출되고 있다.
절차: 신고 접수:
신고자: 관광지 관리자
신고 대상: 해양 환경 보호국
신고 내용: 선박 침몰로 인한 연료 유출 발생, 위치, 유출량
시간 소요: 2분
초기 대응:
출동 인원: 해양 환경 보호팀 8명 (오염 제거 보트 4명, 응급 조치팀 4명)
준비 작업: 오염 제거 장비 준비, 보호복 착용
시간 소요: 3분
현장 도착:
오염 제거 보트 도착 시간: 10분 이내
출동 경로: 해안에서 오염 위치까지 직선 경로
오염 제거 작업:
작업 인원: 4명 (오염 제거 보트 운전 1명, 오염물 제거 작업 3명)
연료 차단 붐 설치: 5분
연료 흡수 및 제거: 10분
응급 조치:
조치 인원: 응급 조치팀 4명
조치 내용: 관광객 대피, 오염 구역 표시 및 접근 금지 경고
시간 소요: 5분
후속 조치:
오염 물질 이송 경로: 처리 시설로 운반
이송 시간: 15분
추가 조치: 오염 확산 모니터링 및 추가 제거 작업 필요 시 진행

목표: 총 40분 이내에 초기 오염 제거 및 응급 조치 완료"
64,해양오염,"해양오염 시나리오 생성해줘
시간: 12:00
상황: 산업 단지에서 폐수가 해양으로 유출되고 있다.
절차: 절차
신고 접수:
신고자: 산업 단지 관리자
신고 대상: 해양 환경 보호국
신고 내용: 폐수 유출 발생, 위치, 유출량
시간 소요: 2분
초기 대응:
출동 인원: 해양 환경 보호팀 12명 (오염 제거 보트 6명, 응급 조치팀 6명)
준비 작업: 오염 제거 장비 준비, 보호복 착용
시간 소요: 5분
현장 도착:
오염 제거 보트 도착 시간: 15분 이내
출동 경로: 해안에서 오염 위치까지 직선 경로
오염 제거 작업:
작업 인원: 6명 (오염 제거 보트 운전 2명, 오염물 제거 작업 4명)
폐수 차단 장벽 설치: 10분
폐수 흡수 및 제거: 20분
응급 조치:
조치 인원: 응급 조치팀 6명
조치 내용: 주변 주민 대피, 오염 구역 표시 및 접근 금지 경고
시간 소요: 10분
후속 조치:
오염 물질 이송 경로: 처리 시설로 운반
이송 시간: 20분
추가 조치: 오염 확산 모니터링 및 추가 제거 작업 필요 시 진행

목표: 총 70분 이내에 초기 오염 제거 및 응급 조치 완료"
65,해양오염,"해양오염 시나리오 생성해줘
시간: 16:00
상황: 해안가 공장에서 화학물질 유출로 인해 해양이 오염되고 있다.
절차: 신고 접수:
신고자: 공장 직원
신고 대상: 해양 환경 보호국
신고 내용: 화학물질 유출 발생, 위치, 유출물질 종류
시간 소요: 1분
초기 대응:
출동 인원: 해양 환경 보호팀 10명 (오염 제거 보트 6명, 응급 조치팀 4명)
준비 작업: 오염 제거 장비 준비, 보호복 착용
시간 소요: 4분
현장 도착:
오염 제거 보트 도착 시간: 8분 이내
출동 경로: 해안에서 공장 위치까지 직선 경로
오염 제거 작업:
작업 인원: 6명 (오염 제거 보트 운전 2명, 오염물 제거 작업 4명)
화학물질 차단 장벽 설치: 6분
화학물질 흡수 및 제거: 10분
응급 조치:
조치 인원: 응급 조치팀 4명
조치 내용: 해수욕장 폐쇄, 안전 경고 발령, 해양 생물 보호
시간 소요: 4분
후속 조치:
오염 물질 이송 경로: 처리 시설로 운반
이송 시간: 12분
추가 조치: 오염 확산 모니터링 및 추가 제거 작업 필요 시 진행

목표: 총 45분 이내에 초기 오염 제거 및 응급 조치 완료
"
66,해양오염,"해양오염 시나리오 생성해줘
시간: 14:00
상황: 해수욕장에서 관광객이 버린 쓰레기로 인해 해양이 오염되고 있다.
절차: 신고 접수:
신고자: 해수욕장 관리자
신고 대상: 해양 환경 보호국
신고 내용: 쓰레기 오염 발생, 위치, 오염 정도
시간 소요: 1분
초기 대응:
출동 인원: 해양 환경 보호팀 5명 (오염 제거 보트 3명, 응급 조치팀 2명)
준비 작업: 오염 제거 장비 준비, 보호복 착용
시간 소요: 3분
현장 도착:
오염 제거 보트 도착 시간: 5분 이내
출동 경로: 해안에서 오염 위치까지 직선 경로
오염 제거 작업:
작업 인원: 3명 (오염 제거 보트 운전 1명, 오염물 제거 작업 2명)
쓰레기 수거 및 처리: 15분
응급 조치:
조치 인원: 응급 조치팀 2명
조치 내용: 해양 생물 보호, 오염 구역 표시 및 접근 금지 경고
시간 소요: 4분
후속 조치:
쓰레기 이송 경로: 처리 시설로 운반
이송 시간: 10분
추가 조치: 추가 쓰레기 발생 방지를 위한 예방 조치 실시
목표

목표: 총 38분 이내에 초기 오염 제거 및 응급 조치 완료"
67,해양오염,"해양오염 시나리오 생성해줘
시간: 16:00
상황: 대형 화물선에서 컨테이너가 해상으로 떨어져 해양이 오염되고 있다.
절차: 신고 접수:
신고자: 화물선 선장
신고 대상: 해양 환경 보호국
신고 내용: 컨테이너 유실 발생, 위치, 유실물 내용물
시간 소요: 2분
초기 대응:
출동 인원: 해양 환경 보호팀 12명 (오염 제거 보트 8명, 응급 조치팀 4명)
준비 작업: 오염 제거 장비 준비, 보호복 착용
시간 소요: 5분
현장 도착:
오염 제거 보트 도착 시간: 12분 이내
출동 경로: 해안에서 화물선 위치까지 직선 경로
오염 제거 작업:
작업 인원: 8명 (오염 제거 보트 운전 2명, 오염물 제거 작업 6명)
컨테이너 수거 및 내용물 제거: 15분
응급 조치:
조치 인원: 응급 조치팀 4명
조치 내용: 해양 생물 보호, 오염 구역 표시 및 접근 금지 경고
시간 소요: 6분
후속 조치:
오염 물질 이송 경로: 처리 시설로 운반
이송 시간: 20분
추가 조치: 오염 확산 모니터링 및 추가 제거 작업 필요 시 진행

목표: 총 60분 이내에 초기 오염 제거 및 응급 조치 완료"
68,해양오염,"해양오염 시나리오 생성해줘
시간: 10:00
상황: 기름 유출로 해수면에 기름띠가 형성됨
절차: 신고 접수:
신고자: 어선 선장
신고 대상: 해양 환경 관리청
신고 내용: 기름 유출 위치 및 규모
시간 소요: 1분
초기 대응:
출동 인원: 해양 오염 방제팀 10명
준비 작업: 방제 장비 준비
시간 소요: 3분
현장 도착:
방제팀 도착 시간: 7분
출동 경로: 해안에서 기름 유출 지역까지 직선 경로
방제 작업:
방제 대원: 7명 (방제 작업 5명, 보트 운전 2명)
기름 흡수재 및 붐 설치: 4분
기름 제거 작업: 8분
모니터링:
모니터링 인원: 3명
모니터링 내용: 해수 상태 확인, 추가 오염 여부 파악
시간 소요: 5분
후속 조치:
보고 경로: 해양 환경 관리청으로 보고
추가 조치: 필요 시 추가 방제 작업

목표: 총 30분 이내에 기름 유출 방제 완료 및 해수 상태 확인"
69,해양오염,"해양오염 시나리오 생성해줘
시간: 14:00
상황: 해상에서 화학물질 누출 발생
절차: 신고 접수:
신고자: 화물선 선원
신고 대상: 해양 환경 관리청
신고 내용: 화학물질 누출 위치 및 종류
시간 소요: 1분
초기 대응:
출동 인원: 해양 오염 방제팀 8명
준비 작업: 방제 장비 및 보호 장비 준비
시간 소요: 3분
현장 도착:
방제팀 도착 시간: 6분
출동 경로: 해안에서 화학물질 누출 지역까지 직선 경로
방제 작업:
방제 대원: 5명 (방제 작업 3명, 보트 운전 2명)
화학물질 제거 작업: 10분
모니터링:
모니터링 인원: 3명
모니터링 내용: 해수 상태 확인, 추가 오염 여부 파악
시간 소요: 4분
후속 조치:
보고 경로: 해양 환경 관리청으로 보고
추가 조치: 필요 시 추가 방제 작업

목표: 총 24분 이내에 화학물질 누출 방제 완료 및 해수 상태 확인"
70,해양오염,"해양오염 시나리오 생성해줘
시간: 8:00
상황: 상황: 어업 활동 중 폐어구 유출 발생
절차: 신고 접수:
신고자: 어선 선장
신고 대상: 해양 환경 관리청
신고 내용: 폐어구 유출 위치 및 양
시간 소요: 1분
초기 대응:
출동 인원: 해양 오염 방제팀 6명
준비 작업: 방제 장비 및 수거 장비 준비
시간 소요: 3분
현장 도착:
방제팀 도착 시간: 5분
출동 경로: 해안에서 폐어구 유출 지역까지 직선 경로
방제 작업:
방제 대원: 4명 (방제 작업 3명, 보트 운전 1명)
폐어구 수거 작업: 10분
모니터링:
모니터링 인원: 2명
모니터링 내용: 해수 상태 확인, 추가 오염 여부 파악
시간 소요: 4분
후속 조치:
보고 경로: 해양 환경 관리청으로 보고
추가 조치: 필요 시 추가 방제 작업

목표: 총 23분 이내에 폐어구 수거 완료 및 해수 상태 확인"
71,해양오염,"해양오염 시나리오 생성해줘
시간: 11:00
상황: 상황: 해상에서 플라스틱 쓰레기 유출 발생
절차: 신고 접수:
신고자: 해상 정화 작업원
신고 대상: 해양 환경 관리청
신고 내용: 플라스틱 쓰레기 유출 위치 및 양
시간 소요: 1분
초기 대응:
출동 인원: 해양 오염 방제팀 7명
준비 작업: 방제 장비 및 수거 장비 준비
시간 소요: 2분
현장 도착:
방제팀 도착 시간: 6분
출동 경로: 해안에서 플라스틱 쓰레기 유출 지역까지 직선 경로
방제 작업:
방제 대원: 5명 (방제 작업 3명, 보트 운전 2명)
플라스틱 쓰레기 수거 작업: 10분
모니터링:
모니터링 인원: 2명
모니터링 내용: 해수 상태 확인, 추가 오염 여부 파악
시간 소요: 5분
후속 조치:
보고 경로: 해양 환경 관리청으로 보고
추가 조치: 필요 시 추가 방제 작업

목표: 총 24분 이내에 플라스틱 쓰레기 수거 완료 및 해수 상태 확인"
72,해양오염,"해양오염 시나리오 생성해줘
시간: 12:00
상황: 연안에 대량의 쓰레기 발견됨
절차: 신고 접수:
신고자: 해양 생태학자 1명
신고 대상: 해양 환경관리청
신고 내용: 대량 쓰레기 발생, 위치, 유형
시간 소요: 2분
초기 대응:
출동 인원: 청소 작업팀 6명
준비 작업: 청소 도구 및 분리수거 용기 준비
시간 소요: 5분
현장 도착:
출동 시간: 15분
출동 경로: 작업팀 사무소에서 연안까지
오염 분석:
작업 인원: 2명 (쓰레기 분류 및 분석)
시간 소요: 10분
청소 작업:
작업 인원: 4명
방법: 수거 및 분리수거
시간 소요: 30분
후속 조치:
보고 및 기록: 오염 원인 및 청소 과정 기록
추가 지원 요청: 필요 시 추가 청소 팀 출동
목표: 1시간 이내에 쓰레기 제거 및 연안 복구"
73,해양오염,"해양오염 시나리오 생성해줘
시간: 15:00
상황: 해수욕장 인근에서 독성 화학물질 유출됨
절차: 신고 접수:
신고자: 지역 주민 1명
신고 대상: 해양 환경관리청
신고 내용: 독성 물질 유출, 위치, 범위
시간 소요: 1분
초기 대응:
출동 인원: 독성 물질 대응팀 5명
준비 작업: 보호 장비 착용, 화학물질 분석 장비 준비
시간 소요: 5분
현장 도착:
출동 시간: 20분
출동 경로: 대응팀 사무소에서 해수욕장까지
오염 확인 및 격리:
작업 인원: 3명 (오염 지역 격리, 물질 분석)
시간 소요: 10분
독성 물질 제거 작업:
작업 인원: 2명
방법: 화학적 중화제 사용 및 물리적 제거
시간 소요: 30분
후속 조치:
보고 및 기록: 유출 원인 및 제거 과정 기록
추가 지원 요청: 필요 시 전문 의료 팀 지원

목표: 1시간 이내에 독성 물질 제거 및 해수욕장 복구"
74,해양오염,"해양오염 시나리오 생성해줘
시간: 8:00
상황: 항구에 폐기물 무단 투기 발생
절차: 신고 접수:
신고자: 항구 직원 1명
신고 대상: 해양 환경관리청
신고 내용: 폐기물 투기, 위치, 양
시간 소요: 2분
초기 대응:
출동 인원: 환경관리청 조사팀 3명
준비 작업: 조사 장비 및 보호 장비 준비
시간 소요: 3분
현장 도착:
출동 시간: 15분
출동 경로: 환경관리청에서 항구까지
오염 조사:
작업 인원: 3명 (폐기물 샘플 채취, 분석)
시간 소요: 10분
폐기물 제거 작업:
작업 인원: 2명
방법: 폐기물 수거 및 처리
시간 소요: 20분
후속 조치:
보고 및 기록: 투기 원인 및 제거 과정 기록
추가 지원 요청: 필요 시 법적 조치 및 추가 조사

목표: 50분 이내에 폐기물 제거 및 항구 정상화
"
75,해양오염,"해양오염 시나리오 생성해줘
시간: 10:00
상황: 어촌 마을 인근 해역에 플라스틱 쓰레기 대량 발견됨
절차: 신고 접수:
신고자: 어민 1명
신고 대상: 해양 환경관리청
신고 내용: 플라스틱 쓰레기 대량 발생, 위치, 양
시간 소요: 2분
초기 대응:
출동 인원: 청소 작업팀 8명
준비 작업: 청소 도구 및 보트 준비
시간 소요: 5분
현장 도착:
출동 시간: 30분
출동 경로: 작업팀 사무소에서 어촌 마을 해역까지
오염 조사:
작업 인원: 3명 (쓰레기 분류 및 분석)
시간 소요: 10분
청소 작업:
작업 인원: 5명
방법: 수거 및 분리수거
시간 소요: 40분
후속 조치:
보고 및 기록: 오염 원인 및 청소 과정 기록
추가 지원 요청: 필요 시 추가 청소 팀 출동

목표: 1시간 30분 이내에 플라스틱 쓰레기 제거 및 해역 복구"
76,해양오염,"해양오염 시나리오 생성해줘
시간: 14:00
상황: 해상 유전에서 원유 유출 발생
절차: 신고 접수:
신고자: 해상 유전 직원 1명
신고 대상: 해양 환경관리청
신고 내용: 원유 유출, 위치, 규모
시간 소요: 1분
초기 대응:
출동 인원: 원유 유출 대응팀 10명
준비 작업: 원유 흡착제 및 유출 방지 장비 준비
시간 소요: 10분
현장 도착:
출동 시간: 1시간
출동 경로: 대응팀 사무소에서 해상 유전까지
오염 원인 확인:
작업 인원: 4명 (유출 원인 분석, 샘플 채취)
시간 소요: 15분
원유 제거 작업:
작업 인원: 6명
방법: 흡착제 사용 및 물리적 제거
시간 소요: 1시간
후속 조치:
보고 및 기록: 유출 원인 및 제거 과정 기록
추가 지원 요청: 필요 시 전문 팀 추가 출동

목표: 2시간 30분 이내에 원유 제거 및 해상 유전 복구"
77,해양오염,"해양오염 시나리오 생성해줘
시간: 7:00
상황: 해양 보호 구역에 화학 폐기물 유입

절차: 신고 접수:
신고자: 다이버 1명
신고 대상: 해양 환경관리청
신고 내용: 화학 폐기물 유입, 위치, 범위
시간 소요: 2분
초기 대응:
출동 인원: 화학 폐기물 대응팀 5명
준비 작업: 보호 장비 및 폐기물 제거 장비 준비
시간 소요: 5분
현장 도착:
출동 시간: 1시간
출동 경로: 대응팀 사무소에서 해양 보호 구역까지
오염 확인 및 격리:
작업 인원: 3명 (폐기물 샘플 채취, 분석)
시간 소요: 15분
폐기물 제거 작업:
작업 인원: 2명
방법: 화학적 중화제 사용 및 물리적 제거
시간 소요: 30분
후속 조치:
보고 및 기록: 유입 원인 및 제거 과정 기록
추가 지원 요청: 필요 시 전문 의료 팀 지원

목표: 1시간 50분 이내에 화학 폐기물 제거 및 보호 구역 복구"
78,해양오염,"해양오염 시나리오 생성해줘
시간: 11:00
상황: 유조선에서 기름이 유출되어 해안가로 퍼지고 있다.
절차: 신고 접수:
신고자: 어부 1명
신고 대상: 해양 환경 보호 센터
신고 내용: 기름 유출 발생, 위치, 오염 범위
시간 소요: 1분
초기 대응:
출동 인원: 해양 환경 보호팀 5명
준비 작업: 오염 방지 장비 준비, 기름 제거 도구 준비
시간 소요: 2분
현장 도착:
환경 보호팀 도착 시간: 5분 이내
출동 경로: 해안가에서 기름 유출 지점까지 직선 경로
오염 방지 작업:
방지 대원: 3명 (1명 보트 운전, 2명 오염 방지 작업)
오염 차단 및 방지: 5분
기름 제거: 10분
후속 조치:
이송 경로: 해양 폐기물 처리 센터
이송 시간: 10분
추가 처리: 필요 시 추가 방지 작업

목표: 총 30분 이내에 기름 유출 방지 및 제거 작업 완료"
79,해양오염,"해양오염 시나리오 생성해줘
시간: 14:00
상황: 화물선에서 유해 화학 물질이 해상으로 유출되고 있다.
절차: 신고 접수:
신고자: 화물선 선장
신고 대상: 해양 환경 보호 센터
신고 내용: 화학 물질 유출 발생, 위치, 유출 물질 종류
시간 소요: 1분
초기 대응:
출동 인원: 해양 환경 보호팀 8명 (오염 방지 장비 팀 5명, 분석 팀 3명)
준비 작업: 오염 방지 장비 준비, 유출 분석 장비 준비
시간 소요: 2분
현장 도착:
오염 방지 장비 도착 시간: 6분 이내
출동 경로: 해안에서 화물선 위치까지 직선 경로
오염 방지 작업:
대응 인원: 5명 (3명 방지막 설치, 2명 유출 물질 회수 작업)
방지막 설치 및 유출 물질 회수 작업: 4분
유출 분석:
분석 인원: 3명
분석 내용: 유출 물질 종류 및 위험성 평가, 유출량 측정
시간 소요: 4분
후속 조치:
이송 경로: 오염 방지 장비로 회수된 화학 물질 처리 장소
이송 시간: 3분
추가 지원: 필요 시 추가 오염 방지 장비 및 인력 지원
목표: 총 20분 이내에 화학 물질 유출 방지 및 초기 대응 완료"
80,해양오염,"해양오염 시나리오 생성해줘
시간: 18:00
상황: 해수욕장에서 기름 유출이 발견되어 해변에 오염이 확산되고 있다.
절차: 신고 접수:
신고자: 해수욕장 안전 요원 1명
신고 대상: 해양 경찰 오염 관리 센터
신고 내용: 기름 유출 발생, 위치, 오염 확산 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 오염 대응팀 5명 (기름 방제선 3명, 오염 조사 팀 2명)
준비 작업: 기름 방제선 준비, 오염 측정 장비 준비
시간 소요: 2분
현장 도착:
방제선 도착 시간: 5분 이내
출동 경로: 해안에서 오염 지역까지 직선 경로
오염 차단 작업:
대응 대원: 3명 (1명 방제선 운전, 2명 오염 차단 및 제거)
차단 장비 설치: 3분
기름 제거 작업: 5분
오염 조사:
조사 인원: 오염 조사 팀 2명
조사 내용: 오염 확산 범위 측정, 기름 유출 원인 파악
시간 소요: 4분
후속 조치:
이송 경로: 오염 조사 결과 보고
이송 시간: 2분
추가 방제 작업: 필요 시 추가 방제 (방제팀 지원)
목표: 총 20분 이내에 오염 차단 및 기름 제거 완료"
81,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 10:00
상황: 해수욕장에서 상어가 출현하여 피서객들이 위험에 처했다.
절차: 신고 접수:
신고자: 해수욕장 안전 요원 1명
신고 대상: 해양 경찰 구조 센터
신고 내용: 상어 출현, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 10명 (구조 보트 4명, 피서객 대피 팀 6명)
준비 작업: 구조 보트 준비, 대피 장비 준비
시간 소요: 3분
현장 도착:
구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 상어 출현 위치까지 직선 경로
구조 작업:
구조 대원: 10명 (구조 보트 4명, 피서객 대피 팀 6명)
구조 작업 및 대피 유도: 5분
피서객들을 안전 구역으로 이동: 5분
응급 처치:
처치 인원: 응급 처치 팀 3명
처치 내용: 기본 응급 처치 (상어 공격 피해자 응급처치 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 4분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 30분 이내에 상어 출현 대응 및 피서객 안전 관리 완료"
82,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 12:00
상황: 해변 캠핑 중 야생 동물이 출몰하여 피서객들이 놀라 대피 중이다.
절차: 신고 접수:
신고자: 캠핑장 안전 요원 1명
신고 대상: 해양 경찰 및 야생 동물 관리국
신고 내용: 야생 동물 출몰, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 8명, 야생 동물 관리국 4명
준비 작업: 무전기, 메가폰, 안전 장비 준비
시간 소요: 3분
현장 도착:
경찰 및 관리국 도착 시간: 5분 이내
출동 경로: 해양 경찰 초소 및 관리국 초소에서 캠핑장까지 직선 경로
피서객 대피:
경찰 인원: 8명, 관리국 인원 4명
대피 방법: 경찰관 6명은 피서객들을 안전 구역으로 유도, 6명은 야생 동물 접근 차단
시간 소요: 10분
안전 안내:
안내 방법: 메가폰을 통해 피서객들에게 안전 지침 안내
안내 내용: 야생 동물 출몰 시 행동 요령, 안전 대피 경로
시간 소요: 5분
야생 동물 조치:
조치 인원: 관리국 4명
조치 내용: 야생 동물 포획 및 안전 구역 이동
시간 소요: 20분
목표: 총 30분 이내에 피서객 대피 및 야생 동물 조치 완료"
83,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 14:00
상황: 해수욕장 남쪽 구역에서 큰 파도가 밀려와 피서객들이 위험에 처했다.
절차: 신고 접수:
신고자: 해수욕장 안전 요원 1명
신고 대상: 해양 경찰 구조 센터
신고 내용: 큰 파도 발생, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 10명 (구조 보트 4명, 피서객 대피 팀 6명)
준비 작업: 구조 보트 준비, 대피 장비 준비
시간 소요: 3분
현장 도착:
구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 큰 파도 발생 위치까지 직선 경로
구조 작업:
구조 대원: 10명 (구조 보트 4명, 피서객 대피 팀 6명)
구조 작업 및 대피 유도: 5분
피서객들을 안전 구역으로 이동: 5분
응급 처치:
처치 인원: 응급 처치 팀 3명
처치 내용: 기본 응급 처치 (파도 피해자 응급처치 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 4분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 30분 이내에 큰 파도 대응 및 피서객 안전 관리 완료"
84,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 16:00
상황: 해수욕장 동쪽 구역에서 화학 물질 유출 사고가 발생하여 피서객들이 대피
절차: 신고 접수:
신고자: 해수욕장 안전 요원 1명
신고 대상: 해양 경찰 및 환경 보호국
신고 내용: 화학 물질 유출, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 8명, 환경 보호국 6명
준비 작업: 무전기, 메가폰, 방독면, 안전 장비 준비
시간 소요: 3분
현장 도착:
경찰 및 보호국 도착 시간: 5분 이내
출동 경로: 해양 경찰 초소 및 보호국 초소에서 동쪽 구역까지 직선 경로
피서객 대피:
경찰 인원: 8명, 보호국 인원 6명
대피 방법: 경찰관 6명은 피서객들을 안전 구역으로 유도, 8명은 유출 구역 봉쇄
시간 소요: 10분
안전 안내:
안내 방법: 메가폰을 통해 피서객들에게 안전 지침 안내
안내 내용: 화학 물질 유출 시 행동 요령, 안전 대피 경로
시간 소요: 5분
유출 사고 처리:
처리 인원: 보호국 6명
처리 내용: 유출 물질 제거 및 환경 복원
시간 소요: 20분
목표: 총 30분 이내에 피서객 대피 및 유출 사고 처리 완료"
